date,year,month,day,coin,gold
1405/04/10 , ۱۴۰۵ , تیر , ۱۰ , 28000000 , 17200000
1405/04/09 , ۱۴۰۵ , تیر , ۹ , 26500000 , 16736000
1405/04/08 , ۱۴۰۵ , تیر , ۸ , 26500000 , 16800000
1405/04/07 , ۱۴۰۵ , تیر , ۷ , 27000000 , 16870000
1405/04/06 , ۱۴۰۵ , تیر , ۶ , 26000000 , 16400000
1405/04/02 , ۱۴۰۵ , تیر , ۲ , 25000000 , 16030000
1405/03/31 , ۱۴۰۵ , خرداد , ۳۱ , 26000000 , 15980000
1405/04/01 , ۱۴۰۵ , تیر , ۱ , 25000000 , 16090000
1405/03/30 , ۱۴۰۵ , خرداد , ۳۰ , 26000000 , 16332000
1405/03/28 , ۱۴۰۵ , خرداد , ۲۸ , 25000000 , 15732000
1405/03/27 , ۱۴۰۵ , خرداد , ۲۷ , 25000000 , 15840000
1405/03/21 , ۱۴۰۵ , خرداد , ۲۱ , 27000000 , 17870000
1405/03/20 , ۱۴۰۵ , خرداد , ۲۰ , 27000000 , 17800000
